Product	Date_Posted	Star_Rating	Title	Review_Text
Port & Company Ladies Short Sleeve Value Denim Shirt LSP11	04-AUG-14	4	Four Stars	Good quality fabric, comfortable fit, love it!
Port & Company Ladies Short Sleeve Value Denim Shirt LSP11	13-AUG-14	4	Runs Small	Really Small so had to send back.
Fornia Women's Seamless Summer Tube Top	23-JUL-14	5	It did the job.	I love the product, and it fit my 40DD breast size.  I just wish if it were just a little bit bigger, but since it's going to be worn underneath clothes it doesn't really make a difference to me.  I'm using it to help hold down a strapless bra and the combination of both worked the best.
Fornia Women's Seamless Summer Tube Top	11-AUG-14	4	TUBE TOP -  TURQUOISE	I was hesitant on buying any tube tops at my age and weight. I was pleasantly surprised that the top did fit, and I liked the color. I wear it a lot under tops that bare the chest a little too much, and under button down shirts.
Fornia Women's Seamless Summer Tube Top	13-AUG-14	1	it unraveled	it un raveled the first week i had it
RJC Womens XS to Plus 3X Jungle Parrot Camp Shirt	24-JUL-14	3	Love the Colors and Patterns	I loved the colors and patterns in this camp shirt, but the sizes run very small! This surprised me since most clothing from Hawaii actually runs large. I was very disappointed that I needed to return the shirt.
Tri-Mountain Women's Catalina Camp Shirt	15-JUL-14	3	Three Stars	Feels great I will buy more
Tri-Mountain Women's Catalina Camp Shirt	18-JUL-14	4	dry clean	I LOVE the feel of this shirt and it is beautiful.  I would've given it 5 stars for sure but I wish I'd known it has to be dry-cleaned.  This is one of those shirts that immediately becomes your favorite and THEN it gets ruined in the wash.
Tri-Mountain Women's Catalina Camp Shirt	20-JUL-14	2	Lovely fabric and style.	I error end in ordering too large for my frame.
Tri-Mountain Women's Catalina Camp Shirt	23-JUL-14	5	I love my shirt	I love my shirt.  GotApparel is very good to work with.  I received my order in 4 days.. I will certainly be buying again from GotApparel again soon.
Tri-Mountain Women's Catalina Camp Shirt	29-JUL-14	5	nice drap	Nice drap. Used sreamer to remove wrinkles.
Tri-Mountain Women's Catalina Camp Shirt	03-AUG-14	5	Looks Great	This is a great shirt at a great price. It bounces back after washing and looks very good.
Tri-Mountain Women's Catalina Camp Shirt	12-AUG-14	5	Small like size 8	I wear a 6 or 8 usually. I'm 5'3", 120 lbs. Shoulders are sometimes too tight for me in size 6. The small fits perfectly. The cut is loose but that's what I wanted.  Love the drape of the fabric, the price and the colors.
Folter's Red Sleeveless Corset with Black Ribbon Lace	16-JUL-14	4	Four Stars	Very cute, a little smaller than expected
Folter's Red Sleeveless Corset with Black Ribbon Lace	17-JUL-14	5	Great! I loved it!	I absolutely loved this shirt! it fits comfortably, and its sexy! The only thing i would have to say is .  When you wash it.  i know it may be a pain to do everytime, but take the ribbon out and wash it without it. Washing it with the ribbon it will snag and get mixed in and tangled with other clothes lol
Folter's Red Sleeveless Corset with Black Ribbon Lace	13-AUG-14	2	Very different from the pictures it just plain shirt and ...	Very different from the pictures it just plain shirt and there is no zipper in the bottom,. but it is beautiful
Van Heusen 59850 Ladies' Short-Sleeve Wrinkle-Resistant Oxford	18-JUL-14	4	Great shirt	It's a great shirt. Not too thin, but also not too heavy. It fits nicely, and it looks good. I'd buy it again.
Van Heusen 59850 Ladies' Short-Sleeve Wrinkle-Resistant Oxford	19-JUL-14	5	Nice work shirt for food service	launders nice. fits true to size.
Van Heusen 59850 Ladies' Short-Sleeve Wrinkle-Resistant Oxford	24-JUL-14	5	Great Quality	Very nice shirt that washes up nice. (I use the delicate cycle). Fits well.
Van Heusen 59850 Ladies' Short-Sleeve Wrinkle-Resistant Oxford	30-JUL-14	4	nice shirt	easy care, nice clot
Van Heusen 59850 Ladies' Short-Sleeve Wrinkle-Resistant Oxford	08-AUG-14	5	My new work shirts!	I never write reviews, but I had to today. I ordered one of these shirts last week to wear to work. Washed and dried- no iron needed. The shirt fit great and was comfortable and surprisingly cool all day long, despite the thick material. I love the cut- it doesn't pull or gap at the chest like so many oxfords do.  I decided to order 4 more. The order was delivered the next day!!! The shirts were perfect as before. Love these!
Women's River's End Long - sleeve Denim Shirt	27-JUL-14	3	I probably would have liked the shirt if it fit but it was a ...	I probably would have liked the shirt if it fit but it was a dress on me. I ordered a small and I'm 5'2" for reference, also the cuff on the sleeve is kind of small when the button is done. If you're a medium a small would probably fit you.
Women's River's End Long - sleeve Denim Shirt	12-AUG-14	5	Good product in every way	Just what I wanted. Good product in every way.
Ecoland Women Organic Tank	02-AUG-14	3	Have nicer ones at target	Organic or not. if it isn't soft and comfy, I'm not going to wear it often.
Ecoland Women Organic Tank	12-AUG-14	5	WONDERFUL FABRIC	This is so soft and comfortable, yet shapely. Great alone or as an under layer. Love the cream color.
	30-JUL-14	5	Five Stars	Great quality.  I completely satisfied
Port Authority - Ladies Short Sleeve Easy Care, Soil Resistant Shirt. L508	01-AUG-14	5	I love this shirt and it isn't a tailored fit but ...	I love this shirt and it isn't a tailored fit but it is a nice fit so its good.  I bought one in blue the same size that is slightly more fitted and that is a bummer.  Wish it were more consistent but the colors and style of the shirt are nice.
Ultraclub 8990 UC Ladies Oxford Shirt	17-JUL-14	5	great fit !	The x small fit perfect thank goodness ! Even the sleeves were where I needed them .
Ultraclub 8990 UC Ladies Oxford Shirt	05-AUG-14	4	Well Made - Will Last Over Time	I bought the XL - this one surprised me because it was a hair too large.  It's well made, seems to have all the buttons sewn carefully in place and best of all ------ it's iron free!  Yeah!  It's a good cotton inexpensive Oxford shirt that I bet will be in my wardrobe in rotation a couple of years from now.  You can't ask any more from a shirt.
Ultraclub 8990 UC Ladies Oxford Shirt	11-AUG-14	5	Well made, wrinkles and packing folds wash right out.	I think the sizing issue is my own fault. I am going to order more in some of the colors and will step down one size. Nevertheless, I can still wear this. These are very well made, washed up just fine and all wrinkles and folds gone after the first washing.
Ultraclub 8990 UC Ladies Oxford Shirt	12-AUG-14	5	Five Stars	Great summer weight shirt!
UltraClub Women's Classic Wrinkle-Free Short-Sleeve Oxford 8973-White-S	30-JUL-14	3	Not exactly what I was looking for.	No pocket.  Strange material.
UltraClub Men's Whisper Twill Short Sleeve Shirt	16-JUL-14	5	Nice shirt	Nice shirt and fits well
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	14-JUL-14	5	nice shirt	I have purchased devon and jones before I like there fit and style and the price is right.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	14-JUL-14	2	Wrinkles!!!	I washed this once on delicate and hung to dry.  It still wrinkled as though I'd wadded it up to dry!  I don't want to iron shirts, so into the Goodwill bag it went.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	15-JUL-14	5	Could have gone down one size	But the white poplin blouse is just what I expected in fabric and cut, very nice, feminine.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	16-JUL-14	5	Five Stars	Just what I wanted.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	19-JUL-14	4	Wrong Color	I like the shirt but received the wrong color
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	19-JUL-14	5	My Wife Loves It!	Great Quality - Nice Fit - She says it's comfortable and she loves it
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	21-JUL-14	3	fits like a boxy petite...short-waisted, but not overly slim	I am 5'5"  with an average length torso and smallish bust and this was too short for me. Quality of the fabric and stitch was high for the price-
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	21-JUL-14	3	Small for a Large	For the large size, it is cut almost too small.  If it shrinks when I wash it, I don't think it will fit.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	24-JUL-14	5	Great choice	Great material. I wore it today for the first time and i got so many compliments at work. I am 5'3 145 pounds and I got a medium -pink.. It felt just a little lose when I first tried it but today, when I wore it for work, it was just perfect. The pink color (wild geranium) is very nice.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	24-JUL-14	1	Way too big!	The sizes are misleading. I am a medium (7) so I naturall chose size medium, but the blouse is way too large (12-14 large). Totally misled.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	24-JUL-14	2	Runs too large	The shirt quality and fabric is very decent, but as soon as I put it on, it was hanging off me! I ordered a medium as I am typically a size 8-10, 5'6 and usually need a little more room around the bust but this was simply too big. Even the sleeves had way too much room - at least 1.5-2inches!. Also, I was expecting a slightly fitted blouse, but this really didn't have very many darts in it to be considered fitted. In any case, I shall be returning it.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	25-JUL-14	4	Four Stars	Nice fit and quality
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	27-JUL-14	3	Devon and Jones White Blouse	This blouse ran rather large for me.  I was disappointed in the quality of the fabric.  I washed it and dried it and it was quite wrinkled and hard to iron.  It was also too sheer for me to wear without something under it.  I will try another brand I guess.  The price was good however.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	28-JUL-14	5	This is a very comfortable shirt	I love the sleeve length. Today, it's hard to find true quarter length sleeves. This has a very crisp shirt and easy to maintain. I will be buying from this company again.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	30-JUL-14	5	Five Stars	Awesome Fit. very comfortable love the 3/4 sleeve.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	30-JUL-14	5	I really like the blouse	I really like the blouse.  I don't usually buy clothes. every often online, but definitely  would consider buying from. this company again.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	31-JUL-14	3	Three Stars	Good quality well made but a little too small and I usually don't get my size wrong.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	01-AUG-14	4	I need to get other colors!	4 stars because the "wrists" of the sleeves are sown in to stay folded up. I wish they would come down so i can properly iron them. I like the crisp white color and the fit was perfect. I especially like wearing this shirt with a navy colored skirt i have. I would recommend this for work.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	01-AUG-14	2	Nice fit if you're 6' tall	I had high hopes for these shirts.  I'm average height for a woman, about 5' 7", and the shirts fit beautifully, very true to size, but they are VERY long.  I would consider this more a tunic than a blouse.  I sadly returned it.  The material, colors and overall fit were outstanding, but they are seriously about 6" longer than any other blouse in my wardrobe.  I guess if you needed to wear these always tucked in (and who really does that anymore?) they'd be just fine, but if you're planning to wear it out, be warned about the length.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	05-AUG-14	1	Very disappointed. I ordered a large	Very disappointed.  I ordered a large.  When I pulled it out of the bag I knew I would not be able to put it on and button it.  That is exactly what happened.  This shirt must be a size large in juniors.  It sure isn't a large in women.  I will be returning it for a full refund.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	11-AUG-14	5	Wonderful fit	Beautiful shirts, great fit and my daughter looked amazing this morning on her first day of her Jr. year.
Devon & Jones Ladies' Three-Quarter-Sleeve Stretch Poplin Blouse - WHITE - S	12-AUG-14	4	Great shirts	I would recommend these shirts but I would highly recommend anyone to up a size. they seem to make all of these shirt types a little smaller. They are really pretty and look really nice. Good material . I like the stretch to them. i use weight and my arms have built up so my shirts fit but were a little tight because of my arms. I have bought other shirts like these and no matter where you you purchase them they are all smaller then your size . My advise to anyone is to up a size. I would recommend them.
Ladies' Long Sleeve Millennium Twill Shirt	31-JUL-14	5	"Fantastic value"	Fantastic value love this shirt goes great with a pair of jeans very comfortable nice fabric will reorder as many as possible the price is the deal of a lifetime!!!
Ladies' Long Sleeve Millennium Twill Shirt	07-AUG-14	3	Otherwise the quality is fine.	It is a bit too big for me.  I've had to take in the sides to give it some shape.  Otherwise the quality is fine.
Hey Viv ! 50's Fashions: Peter Pan Blouse - Adult Size XS to 2X	25-JUL-14	5	Hey Viv! It's fabulous!	I bought this shirt to use for a 50's program we sometimes do at the preschool I teach at. Fits large just like the other reviews said so order accordingly. I did not have a problem with it being too thin, by the time the scarf was on and it was tucked into my circle skirt with a belt, it was fine. Love the other things I got from this vendor also, I just didn't get them on Amazon.
Hey Viv ! 50's Fashions: Peter Pan Blouse - Adult Size XS to 2X	27-JUL-14	5	I like it	Looks like school uniform, very cute
Hey Viv ! 50's Fashions: Peter Pan Blouse - Adult Size XS to 2X	31-JUL-14	5	Perfect! Pay attention to reviews for sizing!	Definitely order a size or 2 down from what you normally wear! This shirt is great! The customer service was prompt and helped me with my order quickly, and i was able to get the size changed before my order shipped out. I usually wear an XL but in this shirt a medium fits me perfectly! (5'10", 220 pounds, 38 DD bra) It shipped to me within days, and i received it waaaay before the expected delivery date! I will definitely be buying again and recommending this shirt to others!
Hey Viv ! 50's Fashions: Peter Pan Blouse - Adult Size XS to 2X	02-AUG-14	3	LOVE	LOVE LOVE LOVE this shirt. I have a number of them all alike, I am so happy I found them being sold on amazon (others from a thrift shop). It first great!
Hey Viv ! 50's Fashions: Peter Pan Blouse - Adult Size XS to 2X	04-AUG-14	3	Ordered for someone - they were okay with it	Ordered for someone else - are okay with it
Hey Viv ! 50's Fashions: Peter Pan Blouse - Adult Size XS to 2X	05-AUG-14	1	was a school uniform shirt	Shirt was a basic school uniform shirt poor quality. It did not have the tucked style that fits a women's curves, it was very blocky and big.
Stylish Top with Peek-A-Boo Keyhole from Hot Fash Tops - KRISTEN Yellow	13-JUL-14	5	im happy with it and it came on time	this shirt was made to last. im happy with it and it came on time
Sexy Lowcut Club Ruched Bodice Halter Top from Hot Fash Tops - KENNI Fuchsia	07-AUG-14	3	nice color, poor construction	Its snug but i am big busted also, reason for 3 start is because it has a seam that wasn't stitched under the left breast cup about 1/2in.
Authentic Pigment Womens 5.6 Oz. Pigment-Dyed & Direct-Dyed Ringspun Tank Top	08-AUG-14	2	Two Stars	It was both large and dirty when it came in. 
Sugarlips Seamless Rib Tank Tops	14-JUL-14	5	Five Stars	Love this top! Its SO soft and fits like a glove
Sugarlips Seamless Rib Tank Tops	16-JUL-14	1	One Star	One size does NOT fit all.
Sugarlips Seamless Rib Tank Tops	16-JUL-14	4	Four Stars	Great quality. Very snug. Perfect for layering.
Sugarlips Seamless Rib Tank Tops	21-JUL-14	5	Five Stars	Love these tank tops - fit well and aren't short like many of the others.
Sugarlips Seamless Rib Tank Tops	25-JUL-14	5	Great tank	I like this tank so well that I have ordered other colors. It fits very tight and is great for layering but it is still comfortable and not to hot.  I would recommend it
Sugarlips Seamless Rib Tank Tops	28-JUL-14	2	Very tight	This tank is cute but very very tight. Definitely runs small.
Sugarlips Seamless Rib Tank Tops	29-JUL-14	3	I should have taken to heart other reviews. Unless ...	I should have taken to heart other reviews. Unless your petite, this will be VERY snug and exceptionally hot too.
Sugarlips Seamless Rib Tank Tops	29-JUL-14	5	Great for everyday wear	I am the type of girl who wears a cami under almost everything.  I read on a fashion blog about how great these tanks are, and I thought I would try one.  It fits exactly as the blogger describes.  It keeps everything held in without being a compression/shaping-type garment, and the tops I wear over it don't cling to it or to me.  It is a nice smooth base layer. I am back on Amazon to buy more colors because I like the secure feeling of having one of these on during my work day.  Don't expect this to be a workout tank or something you wear on its own. It definitely goes under something else.
Sugarlips Seamless Rib Tank Tops	07-AUG-14	2	TOO THIN and TRANSPARENT!	These are very thin and see through.  I bought this bc I thought it was made from fabric with a little thickness to it so that you don't see my bra in one color and my skin in another under the shirt!  totally unsatisfactory in my book!
Sugarlips Seamless Rib Tank Tops	11-AUG-14	2	Seamless tank top	It was a great color.  I wear a 4-6 and it was like spanx.  I will probably only use it under a shirt or to go to the gym.  I was disappointed with the sizing.
Soffe Junior Tie Dye Boy-Beater Tanks 3000	25-JUL-14	5	Comfortable & Tight	I'm 5 feet, slim/petite, hour glass/curvy, and my bust size/cup is 29E. This fit perfectly --> slim, tight, comfortable, and soft. I would wear this whenever. :)
V0527 Van Heusen Ladies' 3/4-Sleeve Dress Twill - White - S	24-JUL-14	5	Van Heusen Womens Dress Twill White Shirt.	Very good when you need a white shirt in the winter time.  It stands up well under sweaters and vests; always looks like it just came fresh from the laundry.
Tri-Mountain Women's Santorini Camp Shirt	18-JUL-14	4	dry clean	I LOVE the feel of this shirt and it is beautiful.  I would've given it 5 stars for sure but I wish I'd known it has to be dry-cleaned.  This is one of those shirts that immediately becomes your favorite and THEN it gets ruined in the wash.
Womens Vee Crop Top Undershirt Camisole: Maximum Sweat-Proof Armpit Pads	19-JUL-14	5	Fantastic. LOVE these	I LOVE these tops, life changing for me. for those who have this problem then you will know the pains and accommodations we make in clothing, no more!  Wearing these allows me to wear ANY color of tight tee-shirt and be confident no marks will show even on the hottest, most humid day.  OMG, LOVE them.  Two minor comments, minor as compared to the bigger picture its nothing.  Seem on front can make it look like you have a sports bra on and in shorter sleeved tee-shirts sometimes to cloth on the under side of the arm (pad) can be seen.  Fine in black color, looks a tad odd on the white but still very easy to fix.  A million stars from me!
Womens Vee Crop Top Undershirt Camisole: Maximum Sweat-Proof Armpit Pads	10-AUG-14	5	No more pit stains! Totally worth it	Everything about this undershirt is as described. I would totally order again. The only thing that kind of bugs me is when I wear it under my uniform at work, (cotton Polo) there's a lot of lines you can see through the shirt. I don't know exactly how that could possibly be fixed though; and I definitely prefer this to the sweat stains I had before.
Bay Studio Solid Wide Strap Shelf Bra Tank Top	13-AUG-14	4	I like the shelf Bras	I like the shelf Bras. very much.  However, they were too small sent them back and ordered an Xlarge.  You shud have gotten them by now and I was hoping my new ones were on there way too me.
eVogues Sexy RED O-Ring Necklace Sleeveless Plus Size Top	17-JUL-14	1	One Star	I want a refund on this item. I was very displeased.  Quality is that of a Dot's item.
eVogues Sexy RED O-Ring Necklace Sleeveless Plus Size Top	06-AUG-14	4	Does not fit my bust well with the added jewelry ...	Does not fit my bust well with the added jewelry, but I simply modified the top and it's still lovely.
American Apparel Rib Racerback Tank	10-AUG-14	4	The tank itself is wonderful - good color and feel	The tank itself is wonderful - good color and feel; it's just about an inch or two too short for me to land the 5 star rating. Otherwise it's great. American Apparel's clothes are all really nice and they're a great company to order from - very courteous and prompt.
American Apparel Sheer Jersey Racerback Tank	29-JUL-14	3	Slightly weak, bit big	It's nice and fairly soft, but a bit weak/thin in the material and kinda big (the neck does way way down on me)
Hollywood Star Fashion Women's Long Sleeve V-Neck Tee Tank Top Shirt	31-JUL-14	3	Sleeves too short	Sleeves are too short; they come above the wrist (and I am not a tall woman at all), and is not snug or long as it appears. Makes a person look stumpy
Hollywood Star Fashion Women's Long Sleeve V-Neck Tee Tank Top Shirt	12-AUG-14	3	Cotton too thick, doesn't fit nicely	Didn't love this. The cotton was too thick for my personal taste, and it didn't hug the right areas. More of a straight shape than a fitted shape.
Bella Ladies Mini Rib Longer Length Tank Top. B8780	17-JUL-14	5	Five Stars	Arrived on time,  and was very cute on
Bella Ladies Mini Rib Longer Length Tank Top. B8780	01-AUG-14	4	Four Stars	Fits nicely, soft material, very nice.
Foxcroft Wrinkle Free Solid Shirt, Classic Fit, Black, Misses Sizes 4-18	14-JUL-14	5	I absolutely LOVE Foxcroft shirts	I absolutely LOVE Foxcroft shirts!  They really are wrinkle free.  I already have this shirt but it is wearing out so I ordered this new one.  I wear it with jeans and big earrings - just comfortable and fun.  You can do anything with a black shirt!  Prompt delivery - no complaints!
Foxcroft Wrinkle Free Solid Shirt, Classic Fit, Pink, Misses Sizes 4-18	20-JUL-14	5	These are wonderful shirts. Easy to launder and travel with because ...	These are wonderful shirts.  Easy to launder and travel with because it is so wrinkle free.
Ladies' Bahama Cord Camp Shirt - SAND - S Ladies' Bahama Cord Camp Shirt	14-JUL-14	5	Fits good	This is a good looking short sleeve shirt that can be worn untucked.
Ladies' Bahama Cord Camp Shirt - SAND - S Ladies' Bahama Cord Camp Shirt	09-AUG-14	2	I did not like the quality of this shirt	I did not like the quality of this shirt.  I was really hoping that the color was the cool "taupey" color I saw on my computer but it came as a really "yellowy beige".  The material was coarser than I thought it would be.  I am still waiting for my refund.  However the company was great about my return and the reasons and gave me a pre-paid return label.
Harriton M560W Ladies Barbados Textured Camp Shirt	16-JUL-14	5	Five Stars	Quality material - well worth the money.
Harriton M560W Ladies Barbados Textured Camp Shirt	21-JUL-14	5	Five Stars	Looks great, fits great.
Harriton M560W Ladies Barbados Textured Camp Shirt	27-JUL-14	5	LOVE IT	Beautiful shirt but had to return it because it was roo big.
Foxcroft Wrinkle Free Short Sleeve Camp Shirt, Shaped Fit, Women's Sizes 14W-24W	21-JUL-14	5	Great quality shirt that fits great	Great quality shirt that fits great.  It's nice to be able to your arms without being to tight across the back.
Foxcroft Wrinkle Free Short Sleeve Camp Shirt, Shaped Fit, Women's Sizes 14W-24W	11-AUG-14	5	I LOVE these shirts	I LOVE these shirts.  They are practically all I  wear because of their quality and easy care.  They come out of the dryer looking crisp, just like my mother used to do my shirts when I was a little girl -- all starched and ironed.
Foxcroft Wrinkle Free Short Sleeve Camp Shirt, Shaped Fit, Women's Sizes 14W-24W	21-JUL-14	5	Five Stars	Foxcroft shirts are the BEST. that's all I buy anymore !!
eVogues Plus Size Sexy RED Black Lace Corset Top	13-JUL-14	3	Love the look of the blouse except I can't wear it	This shirt is to short and I don't like my stomach to show.
eVogues Plus Size Sexy RED Black Lace Corset Top	14-JUL-14	5	Beautiful color and material.	I love this shirt, though it is a little large.  It's very comfortable and looks great on.
eVogues Plus Size Sexy RED Black Lace Corset Top	19-JUL-14	4	Four Stars	Not crazy about the material, but the shirt is cute!
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	13-JUL-14	4	Cami Camisole	Great fabric and fit, just a bit smaller than I'm used to. But then again it might be because all mine are stretched out. Overall, a very good product.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	15-JUL-14	2	Two Stars	Quality is great but sizes are really small!
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	16-JUL-14	1	It is more like a child's large	This camisole does not appear to be a misses size. It is more like a child's large.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	16-JUL-14	4	Four Stars	Love the fit and charcoal or dark grey. A little thin otherwise serves it's purpose.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	17-JUL-14	5	Five Stars	Blue color is very pretty and true to photo.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	18-JUL-14	3	I ordered a large, it is way to small ...	I ordered a large,  it is way to small, didn't want to hassle  sending it back, gave it to my granddaughter.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	20-JUL-14	4	Four Stars	This is a nice camisole. My only complaint is that the straps are a bit thin.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	20-JUL-14	5	Five Stars	Can wear without a bra, exactly what I was looking for!
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	23-JUL-14	5	Very nice cami	This cami is very comfortable and soft. The material is thicker than some and only slightly stretchy, which I like. The color is pretty and hasn't faded, even after several washings. The length is shorter than some, coming to about hip length on me (I'm 5'7"), but I prefer them that way. I often wear it to bed and it provides some support without binding. The strap on one shoulder came unsewn after a couple wearings, but was easy to fix. Overall, it's a nice cami for the price.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	23-JUL-14	5	Five Stars	Very nice tank top! Very comfortable and stylish. Great alone or as an undershirt.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	24-JUL-14	4	Good buy!	Very nice.  Pink color really pretty.  The small was perfect.  The medium is snug.  I would go up a size to a large if you're a medium.  The camis are a good price and lots of colors!
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	25-JUL-14	1	Not as advertised	The description for this top indicates it has a shelf bra and adjustable straps. It had neither, which is why I rated it 1 star. If you're interested in a basic camisole, the fabric was soft and the fit was what I expected.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	26-JUL-14	1	the tag stated Large but the fit was like extra small	I normally wear and order size Large.  When I saw the cami's i was thrilled with all the colors.  But when they arrived, the tag stated Large but the fit was like extra small.  I will NEVER order clothing from Amazon again.  The sellers don't state the sizes run small, very frustrating.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	27-JUL-14	1	TOO SMALL	I am usually a medium, but I could hardly get it over my head. what a dissappointment
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	27-JUL-14	5	Five Stars	Exactly what I needed and expected cami to be. Also very soft and fits well.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	27-JUL-14	5	Lovely	Fits as expected!  Lovely shirt!
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	28-JUL-14	5	Very Comfortable Cami	The quality of this cami is wonderful especially for the price. They run small so order a size larger for comfort. They are thin but durable.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	29-JUL-14	5	Love love	Love camis and this one is perfect
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	29-JUL-14	5	Cami Camisole with Shelf Bra; Adjustable	I already wrote a review.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	30-JUL-14	4	great layering top	The fit is small and the tank is not as long as expected.  I have a short torso so it fits me fine. I recommend ordering size larger than normal.
Cami Camisole Built in Shelf BRA Adjustable Spaghetti Strap Tank Top	05-AUG-14	2	I was very disappointed in the fit	I was very disappointed in the fit.  I typically wear medium to large and I couldn't get the large on at all.
