11	great read	293,492,98,160,392,434,204,345,384	great read hard to put,great read a bit slow,predictable non formulaic story great read kept me up,down the line another great read,great read however this book,going to be a great read primarily because i,you all are a great read,great read and great series,great read - wonderful
12	excellent	14,198,400,427,153,423,333,161,399,482	excellent book enjoyed very,this one is so excellent and shows why,excellent story with well,the third book is excellent so i continue,excellent going on to,excellent read lots of,the audible version is excellent,plot twists abound an excellent read,ice and fire is excellent - hard to put down,excellent - well written and a totally great read
13	series	270,452,476,128,139,214,272,205	the best in the series you get a,the rest of the series,'m hooked on this series i travel with,one of the top series in history,best of the entire series so far,read the whole shannara series of books,great addition to the series,mccaffrey 's dragon centric series on pern a
14	great series	358,85,150,75,393,189,46,383,121,5	of years its a great series,great series but i was,this is a really great series of books and,third in a great series this book slows,great series many many characters,now this is a great series,great series i am re,great series lost twists and,great book great series spoiler alert ending,great book great series have read all
15	loved it	173,52,58,134,292,55,12	amazing as usual loved it,fiery cross and i loved it even more i,loved it reading the next,loved it this book gets,loved it to the very,loved it need more new,loved it knew that i
16	fantastic	145,170,74,409,286,326,349,455	of swords was a fantastic and exciting read,fantastic continuation of the,fantastic fantasy book that,fantastic i could n't,compelling the worldbuild is fantastic the characters pop,times uplifting and wholly fantastic in scope and,cellulite this book is fantastic,fantastic - disturbing - confusing - gross - glorious
17	great book	41,372,363,389,262,178,219,121,5,433	great book great book love,great book as always,another great book continues the series,this is a great book it 's well,yet another great book in the dark,another great book in the series,its a great book,great book great series spoiler alert ending,great book great series have read all,great book - love the way she writes
18	down	417,362,478,147,209,66,75,63	not put this book down i immediately started,hard to put it down but i did,almost impossible to out down enjoy,ca n't put them down = not sleeping,had to put it down the world of,n't put the book down,this book slows way down the story could,can not put it down - never boring
19	disappointed	264,59,85,226,229,352,339	not likely to be disappointed king 's skills,i wo n't be disappointed thank you to,series but i was disappointed with the blah,salvatore books and is disappointed that i dislike,remember that i was disappointed when it ended,found that i was disappointed when i saw,reader wo n't be disappointed in this book
20	fun	318,340,340,311,313,157,145,342	imaginative playful it was fun reading it and,stardust was a fun little read it,read but it 's fun and imaginative in,was a lot of fun and the writing,london very interesting and fun,not tolkien however but fun nevertheless his characters,novel is clever and fun and kept me,fun - riveting - page turning stuff
21	hooked	177,54,376,397,478,62,19	but if you 're hooked and you 've,book but i was hooked from the very,get more and more hooked into the story,series i am absolutely hooked it 's very,if you are not hooked after voyager this,you get hooked on this series,less i am so hooked on these books
22	enjoy	419,36,368,232,378,200	becomes clearer i truly enjoy reading these books,i read i could enjoy the characters i,the series but i enjoy them both check,along quite well i enjoy reading gabaldon and,like about this book enjoy,her works and still enjoy them as i
23	compelling	257,489,286,98,98,201	just keeps getting more compelling with each book,her style witty and compelling her characters are,brilliant and weird and compelling the worldbuild is,compelling story fascinating characters,and finding it equally compelling,still as fresh and compelling as my first
24	not	354,281,340,467,316,264,379	not at all what i expected,main character shadow while not necessarily the most relateable,and turns it 's not the best gaiman work,this book is not your usual horror,not my type of book,long time readers are not likely to be disappointed,a verra good book not my favorite
25	better	456,365,20,150,388,165	some were a little better and some were,this series of books better the second time,keeps getting better and better love jamie and,each one just gets better and better it,the books are much better,even better than the first
26	recommend	133,412,329,152,76,444	i recommend the whole series,read i would totally recommend it for weekend,just awesome and i recommend everyone pick this,series i would definitely recommend this book to,at the end i recommend this book and,this theory i would recommend this to anyone
27	best series	498,86,102,274,70,122	best series of books ever,best series i 've read,best series i 've read,best series i 've read,best series i 've read,best series i 've read
28	love this series	42,155,37,20,17,230	claire 's life i love this series ca n't wait,i love this series i just wish,i love this series,i love this series and it just,love this series ca n't wait,of the main characters love this series
29	fascinating	239,419,98,101,409,448	this book is a fascinating entry into the,the book is fascinating and the series,compelling story fascinating characters with depth,fascinating story i could,it these books are fascinating,excellent book in the fascinating series
30	must read	221,293,301,223,124	say it 's a must read for all those,riftwar series is a must read,this is definitely a must read i am now,in my opinion a must read and good compliment,was great and a must read so i said
31	action	172,96,268,488,51	series the combination of action throughout and incredible,written reflective filled with action and well worth,good story lots of action some very sound,lots of action this series really,quite a bit of action and definitely moves
32	adventure	339,208,487,491,480	on his way to adventure on his journey,packed with action and adventure i loved it,book is full of adventure and the characters,this is one adventure after another loved,this series always an adventure love jaime &
33	characters	496,24,106,108,311	a great story the characters are rich conversation,huge books with great characters history a little,kept me interested the characters are engaging if,something more entertaining the characters do n't really,read i thought the characters were great the
34	slow	287,492,487,470,281	must admit i was slow on the uptake,great read a bit slow in parts but,with there were some slow parts but overall,somewhat awkward and certainly slow,initial character progression seemed slow but then quickly
35	ca n't wait	21,92,190,144,182,136	exciting page turner i ca n't wait to get to,wonderful mind candy ca n't wait to get lost,wondering what 's next ca n't wait to read the,you keep reading i ca n't wait for the next,with a vengeance i ca n't wait to start on,have read so far exciting ending ca n't wait to start book
36	favorite	45,112,125,256,48	is one of my favorite books in the,is one of my favorite books but i,characters one of my favorite series,my favorite of the dark,good book not my favorite but still a
37	look forward	91,301,440,473,76	buy the next and look forward to the rest,by neil gaiman and look forward to the next,magic parts and i look forward to reading other,very good read i look forward to the next,being written today and look forward to finding out
38	glad	324,277,75,187,441	worthy purchase and am glad to own so,book 2 i 'm glad i decided to,end still i 'm glad i finished the,martin i am very glad he is an,years ago and am glad that i can
39	enjoyable	100,24,237,194	up being a very enjoyable read i was,each succeeding reading is enjoyable to absorb more,her to provide an enjoyable and believable science,enjoyable for a while
40	awesome	439,329,406,204	awesome series to read,last sentence was just awesome and i recommend,awesome keep them coming,of pern books are awesome if you like
41	well written	367,239,389,437,366,96,482,106	book is very well written and i have,the book is so well written that you can,great book it 's well written towards the adult,the book is really well written and super fast,very well written good entertainment,this series is well written - reflective - filled with action,excellent - well written and a totally great read,entertaining well written and kept me interested
42	great story	285,65,114,496	ending to me a great story should close with,the great story continues i love,great story hobb is a,what a great story the characters are
43	very good	422,417,77,33	for the bad guys very good over all,very good book series i,very good did not want,best this was a very good read
44	love love love	296,429,421,18	love love love he creates such,love love love it,love love love me some game,love love love all of the
45	good story	228,88,457,336,268	it 's a rollicking good story too i 've,disappointed she builds a good story with strong characterizations,a good story but was rushed,surpreises mistery and a good story you will like,good story - lots of action
46	thoroughly enjoyed	493,97,175,391	thoroughly enjoyed this sequel to,i thoroughly enjoyed the book from,book was amazing i thoroughly enjoyed it worth the,i thoroughly enjoyed a clash of
47	intriguing	267,99,93,360	developed the plot is intriguing but a bit,intriguing dual history citations,just a romp with intriguing characters,davos was a very intriguing character i also
48	read	449,340,256,207	the next i 've read them all three,was a fun little read it 's the,dark tower series have read it multiple times,i have read the whole shannara
49	wonderful story	475,11,407,259	life it 's a wonderful story,the middle of this wonderful story i ca n't,a wonderful story that draws you,king has woven a wonderful story about infinite possibilities
50	hard	411,401,150,362	good characterization a little hard to follow at,somewhat over long and hard to keep track,and better it was hard for me to,story than the first hard to put it
51	surprises	310,169,140,422	novel good characters several surprises if there is,reader there are still surprises at every turn,a ride so many surprises ca n't wait,still engrossing some surprises you pick your
52	fantasy	312,287,83	such wonderful characters and fantasy in a very,for a bit more fantasy or supernatural elements,on the classic epic fantasy it continues even
53	good read	473,236,32	its characters a very good read i look forward,a good read but then modessitt,be disappointed but a good read
54	beautiful	241,135,335	extremely beautiful and clear writing,the writer has a beautiful mind,this is as beautiful a fairy tale
55	best one	166,261,160	best one so far martin,best one so far,best one in the series
56	highly recommended	146,5,335	was n't for me highly recommended,of them several times highly recommended to anyone who,travels in the end highly recommended
57	hard to put down	176,99,103,399	hard to put down builds on book,men and his assassin hard to put down,nevertheless i found it hard to put down the story draws,ice and fire is excellent - hard to put down
58	highly recommend	312,454,80,331	non typical way i highly recommend this book to,are great and i highly recommend them,a sweeping epic i highly recommend this classic trilogy,highly recommend this book
59	engaging	106,470,395	interested the characters are engaging if a little,story the characters are engaging the setting riverboats,martin 's style is engaging and gives a
60	turns	383,423,340	series lost twists and turns,lots of twist and turns,a couple twists and turns it 's not
61	story	396,170,206	wow what a story,fantastic continuation of the story,loved the story got a lot
62	boring	437,188,51	gets repetitive and thus boring too bad,of the book were boring however the last,those who found it boring just did n't
63	creative	100,302,437	less troublesome and the creative world building interesting,books he is so creative with his characters,whole magical environment is creative also i like
64	magic	272,272,436	goddess magic comes the magic of betrayal from,other and as the magic of the goddess,three times there is magic here and it
65	reread	44,198,211	have actually read and reread them from pure,to go back and reread again all her,it on kindle and reread it yet again
66	liked	437,334,469	not summary although i liked the book i,i actually liked the movie better,i liked that one of
67	next	253,144,58	book i hope the next in the series,n't wait for the next book,loved it reading the next one
68	easy	337,430,412	will not disappoint very easy to fall into,easy to picture but,amazing incredible story and easy to read i
69	gripping	418,109,143	the next book very gripping and addictive i,interesting story with some gripping plot developments the,read this book is gripping and page turning
70	descriptive	361,15,201	wow awesome read very descriptive and great character,a fantastic writer very descriptive and i almost,a winner as an descriptive and compelling artist
71	time	205,118	series well worth the time to read,do n't waste your time
72	not as good	370,463	not as good as the 1st,not as good as the game
73	quality	472,115	measures up to the quality of bitten,not only by the quality of world building
74	annoying	403,84	it 's a bit annoying that the table,often enough to get annoying if you 're
75	unique	324,311	me his storytelling is unique and blends seamlessly,the book is as unique as i 've
76	entire series	359,461	hope to read the entire series and working on,i love the entire series and have read
77	lacking	332,84	tale somewhat upsetting and lacking in romance abeit,but the execution was lacking pun intended as
78	worth reading	338,439,193	overall well written and worth reading,next anita blake novel worth reading and leaves you,this one was chilling - worth reading
79	excellent series	88,205	intrigue this is an excellent series for you this,her son todd an excellent series well worth the
80	never	227,348	never seeming to quit,to a plot that never seemed to pick
81	expected	215,354	as expected of a xanth,at all what i expected
82	addictive	89,418	the farseer series is addictive making you want,book very gripping and addictive i love this
83	suspense	392,416	book 3 because the suspense is killing me,there is mystery and suspense which is essential
84	waiting	184	read them all waiting for the last
85	fiction	375,323	never much of a fiction reader this work,place a little too fiction for my liking
86	second time	365,447	of books better the second time around,second time read for me
87	okay	84,304	this trilogy was okay overall but i,written the storyline was okay though it did
88	intense	260,271	in addition to the intense work of figuring,some possession tricks very intense and in depth
89	spellbinding	30,344	easily as spellbinding as the first,that the book is spellbinding so good in
90	riveting	80,16,342	story better it is riveting and the writing,series the characters are riveting thank you for,fun - riveting - page turning stuff
91	cant wait	38,493	love with this series cant wait for outlander to,the first book and cant wait to read the
92	interest	411,90	it certainly keeps your interest,was better held my interest and ended in
93	all over	446,323	the series is just all over the place and,this book was all over the place a
94	well developed	65,281	and scenes are so well developed that you feel,around him became a well developed character midway through
95	world	180,115	writers has built a world and invited us,by the quality of world building but by
96	romance	332,24	upsetting and lacking in romance abeit gory and,little fantasy and some romance
97	predictable	267,265	intriguing but a bit predictable and trip to,an entertaining read but predictable and full of
98	looking forward	160,189	one in the series looking forward to the other,to put book aside looking forward to next book
99	n't wait	434,416	met and i ca n't wait to read on,i ca n't wait to start the
100	stars	93,352	why i gave it stars not for get,this year 4.5 5 stars
101	end	327,457	wished it would n't end thank you sir,was rushed at the end
102	tedious	177,386	never end the most tedious of the books,it 's a bit tedious
103	ca n't get enough	374,166	ca n't get enough of this series,intrigue and action i ca n't get enough i absolutely have
104	cliffhanger	182,258	changes i hope the cliffhanger in this one,sure leaves with a cliffhanger luckily i had
105	engrossing	422,451	still engrossing some surprises you,done they are too engrossing
106	my favorite	499,212	my favorite in the series,of shannara series is my favorite this book especially
107	need	197,398	when you need another real world,i need the sixth book
108	entertaining	192,265,106,307	and series are very entertaining and interestingly written,an entertaining read but predictable,entertaining well written and kept me interested,certainly entertaining eye opening and worth the read
109	phenomenal	397,159	the story itself is phenomenal george r. r.,the story itself is phenomenal george r. r.
110	very imaginative	387,104	very imaginative and somewhat based,very well written and very imaginative
111	superb	117,339	human the storytelling is superb i am recommending,populate the novel are superb so much so
112	really enjoyed	152,186	i really enjoyed clash of kings,i have really enjoyed all three books
113	style	233,436	chose this book the style was different in,world with grace and style as the beginning
114	well done	259,278	the best of king well done,that are interesting and well done in their own
115	drags	273,282	books this one just drags the story out,good however the book drags with all these
116	another great book	25,42	diana does it again another great book in the outlander,this was another great book in jamie and
117	ok	456,266,289	the stories were just ok,recovers ok toward the end but not enough for me,ok - lagged at end
118	worth	205,413	an excellent series well worth the time to,i thoroughly enjoyed it worth the purchase
119	well thought out	178,313	the entire series is well thought out developing lands cultures,was an interesting and well thought out book fairly easy
120	weird	332,286	romance abeit gory and weird,deep and brilliant and weird and compelling the
121	different	368,233	different from the series,book the style was different in this book
122	enjoying	53,378	and i a really enjoying it as i,i am enjoying the books more
123	best fantasy	107,142	one of the best fantasy novels ever written,best fantasy series ever
124	engaging story	250,490	and is a very engaging story about among other,excellent plot and engaging story the only reason
125	5 stars	67,269	diana always gets 5 stars for her outlander,have given this book 5 stars but i felt
126	sexual	397,159	's very graphic and sexual but the story,'s very graphic and sexual but the story
127	twists	340,383	story with a couple twists and turns it,great series lost twists and turns
128	humor	277,434	is also balanced by humor and happier times,of merry sex and humor are not missing
129	brilliant	286,471	it 's deep and brilliant and weird and,ca n't call it brilliant literature but i
130	excellent book	452,448	excellent book i look forward,another excellent book in the fascinating
131	detail	360,19	series i love the detail and depth and,gabaldon writes with such detail but not to
132	excellent continuation	35,179	excellent continuation of her wonderful,excellent continuation of the narrative
133	enthralling	21,190	get to know the enthralling characters better than,totally enthralling g martin has
134	drama	411,272	with a lot of drama and good characterization,out there even as drama unfolds at the
135	page turner	146,167	it really is a page turner cofk was n't,this is a page turner i read on
136	great characters	231,343	john grey novels introduces great characters and the underworld,great characters and story lines
137	imaginative	340,312,318,341	it 's fun and imaginative in its own,a love for the imaginative,Neverwhere is highly entertaining - imaginative - playful - it was fun,this was a wonderful imaginative piece of fantasy
138	epic	80,360	much greater distance and epic journey fitz is,to review such an epic book in part
139	power	272,271	like rhys grow in power and others like,had lots of little power trips coming along
140	ca n't stop reading	479,414	this is amazing i ca n't stop reading at this rate,know is that i ca n't stop reading it 's my
141	many characters	387,393	based on history too many characters introduced but once,great series many many characters to remember can
142	negative	118,292	continued vibe was outrageously negative i think i,nothing i could say negative
143	developed	267	are interesting and well developed the plot is
144	pretty good	465	pretty good story line i
145	reflective	96	this series is well written - reflective - filled with action
146	fun read	250	book it 's a fun read
147	got tired of it	194	for a while i got tired of it i kept expecting
148	n't waste	118	warning you all do n't waste your time
149	detracted	81	in worldbuilding scope it detracted from the story
150	hungry	6	series galbaldon keep me hungry to read more
151	right	199	way of putting you right there with all
152	interesting premise	309	while it had an interesting premise it was very
153	contagious	451	at the world is contagious i have this
154	still reading	381	still reading and i love
155	dragged	348	not impressed - dragged on and on
156	story gets better	144	the show and the story gets better as you keep
157	revisit	200	enjoy them as i revisit them in my
158	sequel	322	wish there was a sequel
159	style witty	489	i love her style - witty and compelling
160	character development	264	king 's world building character development and solid story
161	elphaba	352	more precise i loved elphaba the wicked witch
162	page turning	143	book is gripping and page turning
163	big	386	it 's a big one but worth
164	bitten	472	to the quality of bitten
165	merry gentry series	272	third installment of the merry gentry series the steamy factor
166	made	324	this book would have made a better short
167	good enough	111	but not great just good enough to get me
168	trilogy	74	that wraps up the trilogy nicely it was
169	weird jumps	446	really go anywhere the weird jumps between disjointed bits
170	i 'm hooked on	476	i admit it i 'm hooked on this series i
171	patient	108	you have to be patient and wait for
172	lack luster plot	226	exclamation points and a lack luster plot it will be
173	absolutely love	158	i absolutely love all of these
174	riveted	87	one seriously i was riveted
175	contrived	269	the ending was somewhat contrived there are several
176	incredible love story	477	first book is an incredible love story and you follow
177	no exception	225	series this one is no exception
178	movie better	334	i actually liked the movie better i think this
179	standing ovation	212	standing ovation - terrific
180	excellent piece	115	to re read an excellent piece of fantasy
181	always entertains	237	anne mccaffrey always entertains you can count
182	confused	71	a much more confused and muddled ending
183	plot twists	281	american society full of plot twists and novel concepts
184	draw me in	80	the writing continued to draw me in though perhaps like
185	3 stars	71	so i give it 3 stars ca n't say
186	magical	319	getting pulled into a magical world a lot
187	carried away	65	books that i am carried away to the story
188	love your writing	210	of shannara terry brooks love your writing
189	rushed at	457	good story but was rushed at the end
190	fell in love	349	wizard of oz but fell in love with the story
191	bit repetitive	465	of battles seemed a bit repetitive all throughout the
192	enchanting	295	books are still as enchanting as the first
193	dialogue	118	there was hardly enough dialogue too much retrospect
194	tang	34	overuse of the word tang this one had
195	lot of errors	224	job there were a lot of errors it 's a
196	continues to deliver	29	gabaldon continues to deliver all the characters
197	could n't put	66	could n't put the book down
198	somewhat slow reading	221	somewhat slow reading at times but
199	loved these books	216	i loved these books as a forgive
200	wonderfully executed	278	book is wonderful and wonderfully executed gaiman is in
201	read them all	184	read them all waiting for the last
202	awesome adventure	217	awesome adventure for bink and
203	multiple times	256	series have read it multiple times
204	cataclysm	4	recovered from a great cataclysm that destroyed its
205	favorite writer	49	gabaldon has become my favorite writer the scenes and
206	all time favorite book	305	is pretty much my all time favorite book on the planet
207	over long	401	good book but somewhat over long and hard to
208	so convenient	156	so convenient to have ebooks
209	five stars	94	my rating from the five stars given the first
210	plot twists abound	161	story is engaging and plot twists abound an excellent read
211	hbo	405	as good as the hbo series
212	yearning	375	me and leaves me yearning for more hurry
213	story never gets old	211	it yet again the story never gets old
214	perfect ending	462	perfect ending to an amazing
215	amazing job	275	one she did an amazing job of it i
216	much	132	book i enjoyed so much as i did
217	involved	259	and keeps the reader involved wanting to know
218	utterly flawless	120	hobb this book is utterly flawless i give it
219	captured my interest	299	about but it immediately captured my interest neil gaiman is
220	fewer	304	have been described using fewer words to tighten
221	consistently interesting	83	drawn complex emotionally and consistently interesting even the evil
222	questions raised	246	questions answered and many questions raised the author 's
223	hope	253	for another book i hope the next in
224	let down	284	was kind of a let down and he was
225	amazing ability	190	g martin has an amazing ability to keep readers
226	shortchanged	73	alert > you get shortchanged just as you
227	intricacies	115	building but by the intricacies of the plot
228	creativity	431	love people with the creativity to create entire
229	enjoyed the battle	408	i enjoyed the battle and i really
230	outstanding story	131	martin continues his outstanding story this series is
231	storyline	317	most i thought the storyline was interesting and
232	favorite author	10	my favorite author ever this is
233	classic	205	series on pern a classic in the genre
234	complaint	141	far into my only complaint is the appearance
235	keeps	411	places but it certainly keeps your interest
236	clear writing	241	extremely beautiful and clear writing and a very
237	difficult	189	book has many dimensions & facets - difficult to put book aside
238	book was amazing	175	have i been this book was amazing i thoroughly enjoyed
239	enjoyed reading	379	the series but i enjoyed reading some more back
240	bit too long	379	scenes can get a bit too long
241	does n't	285	moment and this book does n't quite hit that
242	great epic	290	dont miss this one great epic tale
243	my favorites	336	this is one of my favorites i really like
244	foward	336	book that i look foward to share with
245	character depth	360	characters in way of character depth i ca n't
246	not as fast paced	19	not as fast paced as other books
247	required rereading paragraphs	233	different in this book required rereading paragraphs to pull it
248	read and reread	27	one that you can read and reread because the characters
249	torn	392	this book has me torn from so much
250	wicked	352	natural starting point was wicked almost everyone has
251	less enchanted	216	xanth recently i was less enchanted piers anthony has
252	siren	218	dryad a fairy the siren a centaur and
253	totally great	482	well written and a totally great read
254	ludicrous	226	wife i thought it ludicrous that she was
255	have n't been able	183	the books now i have n't been able to put them
256	heartily advise	449	to kill roland i heartily advise every reader to
257	bad ass	271	meredith is seriously pretty bad ass and for anyone
258	very hard to put down	260	unpredictable the book was very hard to put down as the story
259	author surpasses herself.	276	two books she the author surpasses herself. oh how i
260	so so bad	226	it the writing is so so bad and i do
261	masterful writer	95	hobb is a masterful writer and really draws
262	save your time	284	save your time and read Southern Gods instead
263	impressed	108	read i was n't impressed and may never
264	thrills	71	loud and felt genuine thrills so i give
265	pleasant familiarity	325	similar and there is pleasant familiarity but once i
266	uplifting	326	times dark at times uplifting and wholly fantastic
267	recommend reading	49	love this book i recommend reading the series beginning
268	never appeals	316	book all fantasy which never appeals
269	slightly repetitive	149	of the chapters became slightly repetitive i need a
270	ongoing praise	359	ongoing praise for this continuing
271	errors	265	and full of historical errors most of which
272	mystical	324	the places where the mystical and spiritual meet
273	steamy	272	merry gentry series the steamy factor increases exponentially
274	living the story	346	as if you were living the story
275	fantasy novel	352	is a thinking persons fantasy novel the wizard cowardly
276	itself	336	think it speaks for itself i loved it
277	very enjoyable	280	much darker - very enjoyable
278	colorful	331	the characters are wonderful unique and colorful
279	facets	189	book has many dimensions & facets - difficult to put book
280	third installment	272	in the third installment of the merry
281	easy reading	411	this is an easy reading book with a
282	good history	323	fi it tells a good history of london but
283	seldom disappoints	260	territory still king very seldom disappoints so i have
284	blood rage	271	to the death a blood rage spell on the
285	book was great	13	i thought this book was great
286	can not put	63	under a spell you can not put it down never
287	characters captivate you	107	system of magics her characters captivate you in an instant
288	playful	215,318	a strategic mind is behind these seemingly playful novels,Neverwhere is highly entertaining - imaginative - playful - it was fun
289	it ended	229	i was disappointed when it ended i wanted more
290	twists and turns	234	book have so many twists and turns this book was
291	great writer	110	the works of a great writer i was pulled
292	quit	227	never seeming to quit the story of
293	frustrating but not unrealistic	277	ups and downs are frustrating but not unrealistic given the story
294	keep track	401	long and hard to keep track of characters
295	love making	500	extensive details of the love making was unnecessary but
296	excellent story	298	really excellent story makes me want
297	great character	408	i really like tyrion great character
298	loved the book	424	i loved the book and am continuing
299	ca n't put it down	26,11	entire series so far ca n't put it down,this wonderful story i ca n't put it down
300	compelling characters	4	solid military tactics and compelling characters create a world
301	great peek	324	that it 's a great peek into the places
302	built	180	and other writers has built a world and
303	kept	281	work goes but it kept you guessing until
304	strangest	432	doubt this is the strangest most far out
305	fantastic writer	15	ms. gabaldon is a fantastic writer very descriptive and
306	build intellect	380	read the books and build intellect
307	poorly executed	265	books good effort but poorly executed
308	good job	224	n't do a very good job there were a
309	twist	423	excellent read lots of twist and turns
310	hungry for more	239	world it leaves you hungry for more and more and
311	some problems	100	start and i had some problems with the first
312	complex human	49	characters are portrayed as complex human beings with full
313	i ca n't stop	325	i start a book i ca n't stop
314	envy	115	read robin hobb i envy you the opportunity
315	characters engaging	317	was interesting and the characters engaging although the idea
316	engrossing story	362	create an even more engrossing story than the first
317	flabbergasted	168	me but i am flabbergasted
318	gentle	228	his beginning kind and gentle hard as a
319	disturbing	331,455	book with villains this disturbing and funny the,fantastic - disturbing - confusing - gross - glorious
320	hit	285	book does n't quite hit that mark
321	family	198	of one 's own family rather than a
322	wished it would	327	and even then i wished it would n't end thank
323	wonder	327	world of imagination and wonder that i could
324	read the book	371	n't seen the show read the book
325	anticipation	187	characters i wait in anticipation of the death
326	not very fluid	300	the story was not very fluid but had a
327	reviews	226	the other one star reviews i bought this
328	well drawn characters	333	wonderfully complex story well drawn characters it helps to
329	draws you into	95	masterful writer and really draws you into her stories i
330	philosophy	268	very sound bits of philosophy worked in interesting
331	depth	360	love the detail and depth and how much
332	big mistake	124	ta read this book big mistake first off there
333	fantastic story	460	a fantastic story as told by
334	excellent story line	82	excellent story line and ending
335	lack of character	73	the head with the lack of character that fitzchivalry displays
336	bogged down	402	plot well without getting bogged down in the details
337	absolutely love them	483	in this series and absolutely love them i ca n't
338	strong	272	see hints of how strong merry could become
339	absolutely no action	124	first off there 's absolutely no action i stopped reading
340	one dimensional	1	shallow the characters very one dimensional and not enough
